Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,221.399994,225.350006,218.899994,224.820007,224.482880,24855500
2021-09-24,220.699997,221.490005,218.610001,220.809998,220.478867,21765500
2021-09-27,217.100006,217.990005,213.250000,216.600006,216.275223,24521500
2021-09-28,212.139999,214.190002,206.509995,206.990005,206.679642,34306900
2021-09-29,209.399994,210.169998,204.669998,205.169998,204.862320,21839400
2021-09-30,207.679993,210.660004,206.880005,207.160004,206.849365,22100900
2021-10-01,207.500000,208.589996,202.029999,207.419998,207.108963,24097800
2021-10-04,205.039993,205.419998,195.550003,197.320007,197.024109,34563500
2021-10-05,199.500000,206.479996,198.539993,204.509995,204.203308,27928200
2021-10-06,201.199997,207.199997,200.800003,207.000000,206.689606,29720200
2021-10-07,210.919998,213.220001,209.720001,210.750000,210.433975,25691900
2021-10-08,211.009995,212.059998,207.750000,208.309998,207.997635,15125800
2021-10-11,205.750000,210.630005,205.110001,206.949997,206.639648,16338800
2021-10-12,208.279999,210.570007,205.279999,206.710007,206.400024,16213400
2021-10-13,209.179993,209.899994,207.130005,209.389999,209.076019,18065200
2021-10-14,212.880005,217.550003,211.220001,217.460007,217.133896,24358900
2021-10-15,218.100006,219.309998,216.619995,218.619995,218.292160,22699400
2021-10-18,217.490005,222.910004,216.440002,222.220001,221.886765,18949400
2021-10-19,222.759995,223.789993,220.369995,222.899994,222.565735,16147300
2021-10-20,223.050003,224.330002,219.820007,221.029999,220.698547,14627600
2021-10-21,220.970001,227.110001,220.830002,226.919998,226.579727,18759000
2021-10-22,228.229996,231.300003,225.610001,227.259995,226.919189,24938400
2021-10-25,229.729996,233.550003,227.699997,231.660004,231.312637,23023500
2021-10-26,239.889999,252.589996,239.240005,247.169998,246.799362,48589800
2021-10-27,244.740005,250.899994,242.820007,244.509995,244.143326,24599000
2021-10-28,248.779999,249.500000,245.229996,249.410004,249.035980,23420400
2021-10-29,250.009995,257.089996,250.000000,255.669998,255.286606,29250300
2021-11-01,256.489990,258.940002,252.270004,258.269989,257.882721,26574000
2021-11-02,258.220001,266.779999,258.000000,264.010010,263.614136,29411200
2021-11-03,266.700012,267.839996,262.350006,265.980011,265.581177,23991000
2021-11-04,272.290009,313.649994,271.179993,298.010010,297.563171,115363100
2021-11-05,301.869995,314.000000,294.100006,297.519989,297.073822,85126000
